,date,Operating cash flow,ticker,capex,Operating cash flow to capex
0,2023,110543000000,AAPL,-10959000000,9.91378920420108
1,2022,122151000000,AAPL,-10708000000,8.766199212450164
2,2021,104038000000,AAPL,-11085000000,10.65476076049136
3,2020,80674000000,AAPL,-7309000000,9.059920172546297
4,2019,69391000000,AAPL,-10495000000,15.124439768846104
5,2018,77434000000,AAPL,-13313000000,17.19270604643955
6,2017,63598000000,AAPL,-12795000000,20.118557187332936
7,2016,65824000000,AAPL,-13548000000,20.582158483228003
8,2015,81266000000,AAPL,-11247000000,13.839736175030149
9,2014,59713000000,AAPL,-9813000000,16.433607422169377
10,2013,53666000000,AAPL,-9076000000,16.912011329333286
11,2012,50856000000,AAPL,-9402000000,18.487494100991032
12,2011,37529000000,AAPL,-7452000000,19.856644195155745
13,2010,18595000000,AAPL,-2121000000,11.406292013982252
14,2009,10159000000,AAPL,-1213000000,11.940151589723397
15,2008,9596000000,AAPL,-1199000000,12.494789495623177
16,2007,5470000000,AAPL,-986000000,18.025594149908592
17,2006,2220000000,AAPL,-657000000,29.594594594594593
26,2023,87582000000,MSFT,-28107000000,32.09221072823183
27,2022,89035000000,MSFT,-23886000000,26.82765204694783
28,2021,76740000000,MSFT,-20622000000,26.872556684910087
29,2020,60675000000,MSFT,-15441000000,25.448702101359704
30,2019,52185000000,MSFT,-13925000000,26.683913001820446
31,2018,43884000000,MSFT,-11632000000,26.506243733479174
32,2017,39507000000,MSFT,-34073000000,86.24547548535702
33,2016,33325000000,MSFT,-8343000000,25.035258814703674
34,2015,29080000000,MSFT,-5944000000,20.44016506189821
35,2014,32231000000,MSFT,-5485000000,17.017777915671246
36,2013,28833000000,MSFT,-4257000000,14.764332535636251
37,2012,31626000000,MSFT,-2305000000,7.288307089103902
38,2011,26994000000,MSFT,-2355000000,8.724160924649922
39,2010,24073000000,MSFT,-1977000000,8.212520250903502
40,2009,19037000000,MSFT,-3119000000,16.383884015338552
41,2008,21612000000,MSFT,-3182000000,14.723301869331854
52,2022,91495000000,GOOGL,-31485000000,34.411716487239744
53,2021,91652000000,GOOGL,-24640000000,26.884301488238115
54,2020,65124000000,GOOGL,-22281000000,34.21319329279528
55,2019,54520000000,GOOGL,-23548000000,43.19148936170213
56,2018,47971000000,GOOGL,-25139000000,52.404577765733464
57,2017,37091000000,GOOGL,-13184000000,35.545010919090885
58,2016,36036000000,GOOGL,-10212000000,28.33832833832834
59,2015,26024000000,GOOGL,-9915000000,38.099446664617275
60,2014,22376000000,GOOGL,-10959000000,48.976582052198786
61,2013,18659000000,GOOGL,-7358000000,39.43405327187952
62,2012,16619000000,GOOGL,-3273000000,19.69432577170708
63,2011,14565000000,GOOGL,-3438000000,23.604531410916582
64,2010,11081000000,GOOGL,-4018000000,36.26026531901453
65,2009,9316198000,GOOGL,-809888000,8.69333176473922
66,2008,7852857000,GOOGL,-2358461000,30.033158632584296
71,2023,5641000000,NVDA,-1833000000,32.4942386101755
72,2022,9108000000,NVDA,-976000000,10.715854194115064
73,2021,5822000000,NVDA,-1128000000,19.374785297148748
74,2020,4761000000,NVDA,-489000000,10.27095148078135
75,2019,3743000000,NVDA,-600000000,16.029922522041144
76,2018,3502000000,NVDA,-593000000,16.933181039406055
77,2017,1672000000,NVDA,-176000000,10.526315789473683
78,2016,1175000000,NVDA,-86000000,7.319148936170213
79,2015,905656000,NVDA,-122381000,13.512967396009081
80,2014,835146000,NVDA,-255186000,30.555854904411923
81,2013,824172000,NVDA,-183309000,22.241595201001733
82,2012,909156000,NVDA,-138735000,15.259757401370061
83,2011,675797000,NVDA,-97890000,14.485119052023018
84,2010,487807000,NVDA,-77601000,15.908135799609271
96,2022,50475000000,META,-31431000000,62.27043090638931
97,2021,57683000000,META,-18567000000,32.187992996203384
98,2020,38747000000,META,-15115000000,39.00947170103492
99,2019,36314000000,META,-15102000000,41.58726661893485
100,2018,29274000000,META,-13915000000,47.533647605383614
101,2017,24216000000,META,-6733000000,27.80393128510076
102,2016,16108000000,META,-4491000000,27.88055624534393
103,2015,8599000000,META,-2523000000,29.34062100244215
104,2014,5457000000,META,-1831000000,33.5532343778633
105,2013,4222000000,META,-1362000000,32.259592610137375
106,2012,1612000000,META,-1235000000,76.61290322580645
107,2022,52526336741.3869,TSM,-35535894472.5077,67.6534795248876
108,2021,40060539563.0579,TSM,-30553864977.4494,76.26922979745599
109,2020,29292535036.5463,TSM,-18400936464.8444,62.817835472030005
110,2019,20501890436.1262,TSM,-15656316350.0202,76.36523275157272
111,2018,18778106855.3948,TSM,-10557218287.1247,56.22088727273217
112,2017,19635621132.5212,TSM,-11240525256.3965,57.245580267280424
113,2016,16692473558.6483,TSM,-10274842203.2333,61.55374257226214
114,2015,17375617702.88,TSM,-7969108587.72,45.86374265358707
115,2014,13262906001.54,TSM,-9200116347.9,69.36727401092749
116,2013,11555260528.95,TSM,-9566467148.76,82.78884863558574
117,2023,18085000000,AVGO,-452000000,2.4993088194636437
118,2022,16736000000,AVGO,-424000000,2.5334608030592736
119,2021,13764000000,AVGO,-443000000,3.218541121766928
120,2020,12061000000,AVGO,-463000000,3.8388193350468454
121,2019,9697000000,AVGO,-432000000,4.454986078168506
122,2018,8880000000,AVGO,-635000000,7.1509009009009015
123,2017,6551000000,AVGO,-1069000000,16.318119371088383
124,2016,3411000000,AVGO,-723000000,21.196130167106418
125,2015,2318000000,AVGO,-593000000,25.582398619499568
126,2014,1175000000,AVGO,-409000000,34.808510638297875
127,2013,722000000,AVGO,-236000000,32.686980609418285
128,2012,693000000,AVGO,-241000000,34.77633477633478
129,2011,726000000,AVGO,-112000000,15.426997245179063
130,2010,510000000,AVGO,-79000000,15.490196078431373
131,2009,139000000,AVGO,-58000000,41.726618705035975
132,2023,17165000000,ORCL,-8695000000,50.65540343722692
