,Title,score,rank
0,Death Note,0.8800550741184793,1.0
1,Shingeki no KyojinAttack on Titan,0.8717948717948716,2.0
2,Fullmetal Alchemist: Brotherhood,0.8683370950319338,3.0
3,Hunter x Hunter (2011)Hunter x Hunter,0.7916505517402375,4.0
4,Kimi no Na wa.Your Name.,0.775675614174514,5.0
5,One Punch Man,0.7628859930642832,6.0
6,Shingeki no Kyojin Season 3 Part 2Attack on Titan Season 3 Part 2,0.7621993484380625,7.0
7,Koe no KatachiA Silent Voice,0.7425563402162061,8.0
8,Steins;Gate,0.7355800027898753,9.0
9,Kimetsu no YaibaDemon Slayer: Kimetsu no Yaiba,0.7299022264758809,10.0
10,Shingeki no Kyojin Season 2Attack on Titan Season 2,0.6982239429101016,11.0
11,Jujutsu Kaisen,0.6777950339786858,12.0
12,Shingeki no Kyojin Season 3Attack on Titan Season 3,0.6753432204928373,13.0
13,Code Geass: Hangyaku no Lelouch R2Code Geass: Lelouch of the Rebellion R2,0.6650211553101705,14.0
14,Shingeki no Kyojin: The Final SeasonAttack on Titan: Final Season,0.6596604160322164,15.0
15,Code Geass: Hangyaku no LelouchCode Geass: Lelouch of the Rebellion,0.6571174617255957,16.0
16,Sen to Chihiro no KamikakushiSpirited Away,0.6530811870110249,17.0
17,One Piece,0.6445278497268785,18.0
18,Shigatsu wa Kimi no UsoYour Lie in April,0.6367701678146622,19.0
19,Naruto: ShippuudenNaruto Shippuden,0.6077689120344116,20.0
20,Naruto,0.6074736309080314,21.0
21,Boku no Hero AcademiaMy Hero Academia,0.5988217054441702,22.0
22,Mob Psycho 100 II,0.598766253096072,23.0
23,Yakusoku no NeverlandThe Promised Neverland,0.5931070169459667,24.0
24,Cowboy Bebop,0.588881973050453,25.0
25,Mob Psycho 100,0.5881290027919586,26.0
26,Boku no Hero Academia 2nd SeasonMy Hero Academia Season 2,0.5847915724537227,27.0
27,Kimetsu no Yaiba: Yuukaku-henDemon Slayer: Kimetsu no Yaiba Entertainment District Arc,0.5774724323246184,28.0
28,Clannad: After Story,0.5738677471236169,29.0
29,Violet Evergarden,0.5729413647968811,30.0
30,Haikyuu!!Haikyu!!,0.5692926890344506,31.0
31,Vinland Saga,0.5683439366069596,32.0
32,Kaguya-sama wa Kokurasetai: Ultra RomanticKaguya-sama: Love is War - Ultra Romantic,0.5669548932361659,33.0
33,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen KoukouHaikyu!! 3rd Season,0.5654269189055612,34.0
34,Boku dake ga Inai MachiERASED,0.5644584259559193,35.0
35,Kimetsu no Yaiba Movie: Mugen Ressha-henDemon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,0.5644191083845322,36.0
36,Howl no Ugoku ShiroHowl's Moving Castle,0.5618860955664715,37.0
37,Haikyuu!! Second SeasonHaikyu!! 2nd Season,0.5595876360221929,38.0
