City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,longyearbyen,78.2186,15.6401,-4.09,68,40,8.75,SJ,1701888056
1,tir pul,34.5943,61.269,8.14,44,90,0.96,AF,1701888279
2,puerto natales,-51.7236,-72.4875,13.25,44,40,9.26,CL,1701888063
3,port-aux-francais,-49.35,70.2167,5.02,83,100,9.02,TF,1701888054
4,mount gambier,-37.8333,140.7667,9.08,85,100,1.48,AU,1701887936
5,sur,22.5667,59.5289,23.5,45,0,1.93,OM,1701888280
6,lovington,32.944,-103.3485,18.51,33,63,2.68,US,1701888280
7,ilulissat,69.2167,-51.1,-2.99,50,75,3.09,GL,1701887910
8,isafjordur,66.0755,-23.124,-3.98,74,0,1.54,IS,1701888061
9,waitangi,-43.9535,-176.5597,14.34,96,100,2.24,NZ,1701888281
10,ancud,-41.8697,-73.8203,14.72,71,11,4.71,CL,1701888102
11,tiksi,71.6872,128.8694,-23.98,94,100,4.51,RU,1701888281
12,kingston,17.997,-76.7936,32.53,65,20,5.14,JM,1701888281
13,petropavlovsk-kamchatsky,53.0452,158.6483,-9.19,69,0,6.71,RU,1701888281
14,puerto ayora,-0.7393,-90.3518,29.98,91,87,3.13,EC,1701888062
15,nagato,34.3833,131.2,12.71,64,7,10.37,JP,1701888282
16,makurazaki,31.2667,130.3167,15.5,60,9,10.75,JP,1701888282
17,xining,36.6167,101.7667,-1.33,29,0,1.13,CN,1701888282
18,avarua,-21.2078,-159.775,26.03,78,75,8.75,CK,1701888282
19,pascagoula,30.3658,-88.5561,13.51,51,0,4.63,US,1701888282
20,grytviken,-54.2811,-36.5092,0.74,74,56,7.03,GS,1701888056
21,sitka,57.0531,-135.33,5.94,75,100,6.69,US,1701887934
22,ed damer,17.5928,33.9592,26.36,29,69,4.49,SD,1701888283
23,adamstown,-25.066,-130.1015,22.76,80,100,6.23,PN,1701887903
24,chesma,53.8111,60.6533,-21.79,97,10,1.83,RU,1701888283
25,bethel,41.3712,-73.414,4.17,73,100,2.57,US,1701888057
26,westport,41.1415,-73.3579,5.5,63,75,4.12,US,1701888283
27,punta arenas,-53.15,-70.9167,11.06,62,40,13.89,CL,1701888032
28,warragul,-38.1667,145.9333,12.8,86,100,0.62,AU,1701888049
29,wailua homesteads,22.0669,-159.378,24.86,83,40,5.66,US,1701888076
30,kailua-kona,19.6406,-155.9956,26.39,78,40,1.54,US,1701888083
31,mahaddayweyne,2.9726,45.5347,24.67,69,8,5.14,SO,1701888284
32,port mathurin,-19.6833,63.4167,25.83,79,1,4.36,MU,1701887928
33,college,64.8569,-147.8028,-14.96,83,100,0.0,US,1701888072
34,whitehorse,60.7161,-135.0538,-1.57,79,75,6.71,CA,1701888285
35,nagqu,31.5,92.0,-15.8,93,11,1.12,CN,1701888107
36,georgetown,5.4112,100.3354,27.96,92,20,1.54,MY,1701888068
37,marand,38.4329,45.7749,8.63,40,66,3.86,IR,1701888285
38,iskateley,67.6803,53.1512,-17.65,97,100,3.13,RU,1701887919
39,hadibu,12.65,54.0333,24.98,68,100,5.87,YE,1701887922
40,hopkinton,41.4612,-71.7776,5.71,63,75,4.12,US,1701888286
41,blackmans bay,-43.0167,147.3167,11.07,78,100,0.45,AU,1701888057
42,alofi,-19.0595,-169.9187,25.94,89,100,3.09,NU,1701888115
43,remire-montjoly,4.9167,-52.2667,30.02,74,75,6.69,GF,1701888096
44,acapulco de juarez,16.8634,-99.8901,29.9,74,100,0.0,MX,1701887931
45,codrington,-38.2667,141.9667,9.25,87,100,2.87,AU,1701887941
46,ribeira grande,38.5167,-28.7,18.22,88,75,10.8,PT,1701888074
47,touros,-5.1989,-35.4608,28.41,67,4,6.51,BR,1701888116
48,dem'yanovo,60.3511,47.0842,-21.29,96,27,1.36,RU,1701888287
49,xapuri,-10.6517,-68.5044,24.03,94,100,0.9,BR,1701888007
50,papatowai,-46.5619,169.4708,10.56,78,82,8.1,NZ,1701888068
51,achacachi,-16.05,-68.6833,13.18,63,100,4.48,BO,1701888287
52,saint-pierre,-21.3393,55.4781,25.82,61,100,2.06,RE,1701888123
53,tsiombe,-25.3,45.4833,22.89,74,7,5.86,MG,1701888096
54,howard springs,-12.497,131.047,24.95,96,100,1.27,AU,1701888098
55,aylmer,42.7668,-80.983,3.2,67,100,3.58,CA,1701888244
56,dalbandin,28.8947,64.4101,13.81,18,0,2.05,PK,1701888289
57,kawm umbu,24.4767,32.9463,20.28,29,0,4.99,EG,1701888289
58,ushuaia,-54.8,-68.3,10.81,54,0,11.83,AR,1701887912
59,kudahuvadhoo,2.6708,72.8944,27.9,79,100,2.77,MV,1701888289
60,chala,-7.5833,31.2667,16.04,91,100,0.55,TZ,1701888290
61,severo-yeniseyskiy,60.3725,93.0408,-41.35,100,78,1.79,RU,1701888067
62,stanley,54.868,-1.6985,-0.82,94,0,1.54,GB,1701888062
63,san antonio de pale,-1.4014,5.6325,26.9,80,33,4.75,GQ,1701888107
64,wajir,1.7471,40.0573,29.1,42,41,3.78,KE,1701888290
65,port saint john's,-31.6229,29.5448,19.65,88,100,6.59,ZA,1701888109
66,mil'kovo,55.6078,37.7956,-9.92,100,98,0.88,RU,1701888290
67,forster,-32.1667,152.5167,16.88,100,24,0.92,AU,1701888096
68,liman,48.9884,37.8023,-1.58,66,100,6.21,UA,1701888290
69,selfoss,63.9331,-20.9971,-3.16,56,47,5.26,IS,1701888136
70,nuuk,64.1835,-51.7216,6.34,33,100,10.29,GL,1701888119
71,letterkenny,54.95,-7.7333,7.96,90,100,10.14,IE,1701888291
72,jamestown,42.097,-79.2353,0.77,82,100,4.63,US,1701887923
73,albany,42.6001,-73.9662,0.91,85,99,2.68,US,1701887910
74,sendafa,9.15,39.0333,14.64,55,79,0.95,ET,1701888291
75,invercargill,-46.4,168.35,10.03,79,100,8.15,NZ,1701888065
76,chela,34.069,104.4619,-0.95,30,0,1.68,CN,1701888292
77,jinchang,38.4953,102.1739,3.16,18,0,1.31,CN,1701888292
78,yellowknife,62.456,-114.3525,-7.71,100,100,1.54,CA,1701888002
79,palikir - national government center,6.9248,158.1611,25.41,89,100,3.09,FM,1701888292
80,choyr,46.3611,108.3611,-8.85,82,100,1.89,MN,1701888292
81,olonkinbyen,70.9221,-8.7187,-3.69,84,100,4.73,SJ,1701888065
82,kununurra,-15.7667,128.7333,24.99,83,99,2.06,AU,1701887902
83,manali,13.1667,80.2667,28.05,87,12,3.13,IN,1701888293
84,pudozh,61.8099,36.5345,-15.59,99,94,1.34,RU,1701888293
85,novodvinsk,64.4165,40.8122,-21.81,96,25,1.63,RU,1701888293
