,index,Title,score,rank
0,0,Berserk,0.9578924112866086,1.0
1,3,One Piece,0.9129818834878998,2.0
2,111,Shingeki no Kyojin (Attack on Titan),0.7912936534398478,3.0
3,44,Chainsaw Man,0.7893099786271844,4.0
4,129,Tokyo Ghoul,0.5979508516785512,5.0
5,60,Solo Leveling,0.5881989554999164,6.0
6,9,Oyasumi Punpun (Goodnight Punpun),0.5784909419934171,7.0
7,43,One Punch-Man (One-Punch Man),0.5762080525529552,8.0
8,2,Vagabond,0.5337994333706575,9.0
9,50,Death Note,0.5223555362508778,10.0
10,619,Naruto,0.5219734420138882,11.0
11,1,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,0.5147785514238573,12.0
12,403,Kimetsu no Yaiba (Demon Slayer: Kimetsu no Yaiba),0.5142642923881978,13.0
13,116,Jujutsu Kaisen,0.47476069147928673,14.0
14,7,Fullmetal Alchemist,0.47258121512792056,15.0
15,6,Vinland Saga,0.4640304085345467,16.0
16,617,Boku no Hero Academia (My Hero Academia),0.46252453017315376,17.0
17,1077,Bleach,0.45041295594271363,18.0
18,16,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen (Kaguya-sama: Love Is War),0.4308478080335292,19.0
19,23,Koe no Katachi (A Silent Voice),0.424146906145035,20.0
20,190,Horimiya,0.4155128870159633,21.0
21,4,Monster,0.40842691463985337,22.0
22,42,Hunter x Hunter,0.40125755490158627,23.0
23,109,Spy x Family,0.38811093646926387,24.0
24,12,20th Century Boys,0.3853613825393384,25.0
25,474,Yakusoku no Neverland (The Promised Neverland),0.3721446587332479,26.0
26,25,Haikyuu!! (Haikyu!!),0.36911649053503764,27.0
27,323,Tokyo Ghoul:re,0.36864278923789445,28.0
28,5,Slam Dunk,0.35240921086129545,29.0
29,8,Grand Blue (Grand Blue Dreaming),0.34679420511985426,30.0
30,10,Kingdom,0.3339198965331949,31.0
31,35,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. (I sold my life for ten thousand yen per year.)",0.322949329854431,32.0
32,20,GTO (GTO: Great Teacher Onizuka),0.31709239452717736,33.0
33,19,Yotsuba to! (Yotsuba&!),0.3154315353506609,34.0
34,452,Uzumaki (Uzumaki: Spiral into Horror),0.31035075862824624,35.0
35,358,JoJo no Kimyou na Bouken Part 6: Stone Ocean (JoJo's Bizarre Adventure Part 6: Stone Ocean),0.3100151469248107,36.0
36,572,Gantz,0.30827231415864775,37.0
37,2462,Fairy Tail,0.3038165276173884,38.0
38,71,ReLIFE,0.30221323690846125,39.0
39,11,Houseki no Kuni (Land of the Lustrous),0.2991279974026837,40.0
40,526,"Komi-san wa, Comyushou desu. (Komi Can't Communicate)",0.2980746995414288,41.0
41,98,Pandora Hearts,0.2973706941492582,42.0
42,56,Dorohedoro,0.29636059257124614,43.0
43,81,"""Oshi no Ko"" ([Oshi No Ko])",0.2946299526140739,44.0
44,36,Made in Abyss,0.2934861066632564,45.0
45,28,Akatsuki no Yona (Yona of the Dawn),0.2934370112302335,46.0
46,199,Dragon Ball,0.29324369436445813,47.0
47,117,Blue Lock,0.28871771740397156,48.0
48,1057,Tokyo卍Revengers (Tokyo Revengers),0.28796058912850264,49.0
49,309,Claymore,0.2876367459310829,50.0
50,230,Tower of God,0.28468972301180356,51.0
51,125,Fruits Basket,0.284472735922643,52.0
