days,pledged,goal_surpassed
30,413.81,190.13
30,8795,2795
30,2525,25
30,1525,25
30,1494,494
16,3667.13,972.1300000000001
30,5847,847
30,12545,545
40,6419,1219
45,4001,1
30,8086,86
30,9071,7571
35,5276.01,3776.01
33,4268,1268
40,45026,5026
46,242014,202014
21,26206,11206
30,10604,8604
40,6000,0
26,5117,117
60,5475,475
44,2246,24
14,2880,380
24,8046,46
30,870,130
14,1592,92
24,4063,63
43,2345,345
30,2500,0
30,75064.49,45064.490000000005
30,2251,251
40,9170,170
37,31376,1376
30,55619.77,27887.289999999997
32,6883.35,3948.6500000000005
26,1620,120
35,2225,25
23,4229,1229
90,12080,80
28,3260,260
21,4864.68,392.28999999999996
30,7800,300
60,734.5,34.5
48,1000,0
45,2685,185
30,26936.4,6936.4000000000015
8,4587,4499
30,5001,1
30,5316,316
45,93856.97,90252.33
19,3048.04,53.88999999999987
32,2512,1562
30,38423.29,521.5299999999988
25,1418.04,141.80999999999995
24,4736,2736
35,10538.02,538.0200000000004
21,755,5
30,921.61,10.629999999999995
60,2556,1556
18,619.45,70.57000000000005
31,25815,815
27,586,146
30,25201,5201
15,2295,795
29,11722,1722
43,35987,10987
36,6300.27,1983.46
21,5226,226
41,10694.67,1694.67
25,285.71,88.38999999999999
45,1406.1,144.16999999999985
30,31776,6776
31,740,90
30,25648,648
28,1681,181
45,25751,5751
30,19106.52,3987.3199999999997
30,6428.02,1.2800000000006548
30,20142.18,2142.1800000000003
35,3582.45,582.4499999999998
60,2342,342
30,17176.12,1176.119999999999
30,2510,10
45,7184,184
30,813,313
30,1603,303
20,4080,580
35,10652.42,852.4200000000001
30,22064,12064
35,20731.33,5731.330000000002
31,424615,374615
30,4343,843
60,9000,500
35,61422.7,31422.699999999997
7,2500,0
30,1901.25,1040.49
60,14450,5850
30,14539.85,11358.18
35,3250.26,276.8000000000002
30,365,15
18,1056,256
30,2743.01,282.9100000000003
30,4052,552
15,5656,956
30,6190,1190
24,806,6
30,5260,260
82,1525,25
40,62367,32367
34,10121.73,121.72999999999956
30,4081,81
30,1505,1005
60,4542,542
42,883460.8,848460.8
40,112476.44,97476.44
30,3015,15
30,4228,4128
34,1438,438
42,5275,275
30,7010,2010
30,16837,1837
30,1228,228
90,1050,50
30,290,90
58,3030.06,30.059999999999945
36,161611.46,108651.53
17,7957.91,457.90999999999985
30,2625,125
59,2000,5
32,36021.98,1021.9800000000032
25,2383.25,250.9000000000001
60,5400,400
30,520,20
30,41656,26656
